=============================================================================================================================================================================================
Time: 2018-05-01 17:42:03.213045 
pid      name                                     exe                                                                                                  time                
1497     polkit-gnome-authentication-agent-1      /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1                                       1525185328.55       
1498     nautilus                                 /usr/bin/nautilus                                                                                    1525185328.72       
1499     unity-fallback-mount-helper              /usr/lib/unity-settings-daemon/unity-fallback-mount-helper                                           1525185328.73       
1500     nm-applet                                /usr/bin/nm-applet                                                                                   1525185328.74       
1501     gnome-software                           /usr/bin/gnome-software                                                                              1525185328.92       
1523     gvfs-udisks2-volume-monitor              /usr/lib/gvfs/gvfs-udisks2-volume-monitor                                                            1525185329.34       
1528     udisksd                                  /usr/lib/udisks2/udisksd                                                                             1525185329.4        
1534     evolution-calendar-factory-subprocess    /usr/lib/evolution/evolution-calendar-factory-subprocess                                             1525185329.45       
1543     gvfs-afc-volume-monitor                  /usr/lib/gvfs/gvfs-afc-volume-monitor                                                                1525185329.76       
1551     gvfs-goa-volume-monitor                  /usr/lib/gvfs/gvfs-goa-volume-monitor                                                                1525185329.85       
1553     fwupd                                    /usr/lib/x86_64-linux-gnu/fwupd/fwupd                                                                1525185329.86       
1558     gvfs-gphoto2-volume-monitor              /usr/lib/gvfs/gvfs-gphoto2-volume-monitor                                                            1525185329.91       
1564     gvfs-mtp-volume-monitor                  /usr/lib/gvfs/gvfs-mtp-volume-monitor                                                                1525185330.0        
1580     evolution-calendar-factory-subprocess    /usr/lib/evolution/evolution-calendar-factory-subprocess                                             1525185330.2        
1582     evolution-addressbook-factory            /usr/lib/evolution/evolution-addressbook-factory                                                     1525185330.22       
1589     evolution-addressbook-factory-subprocess /usr/lib/evolution/evolution-addressbook-factory-subprocess                                          1525185330.67       
1602     gvfsd-trash                              /usr/lib/gvfs/gvfsd-trash                                                                            1525185331.18       
1633     gvfsd-metadata                           /usr/lib/gvfs/gvfsd-metadata                                                                         1525185332.34       
1666     zeitgeist-datahub                        /usr/bin/zeitgeist-datahub                                                                           1525185349.22       
1673     sh                                       /bin/dash                                                                                            1525185349.26       
1677     zeitgeist-daemon                         /usr/bin/zeitgeist-daemon                                                                            1525185349.27       
1685     zeitgeist-fts                            /usr/lib/x86_64-linux-gnu/zeitgeist-fts                                                              1525185349.31       
1727     update-notifier                          /usr/bin/update-notifier                                                                             1525185389.24       
1753     deja-dup-monitor                         /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor                                                  1525185449.22       
1768     pycharm-communi                          /bin/dash                                                                                            1525185568.85       
1812     java                                     /usr/lib/pycharm-community/jre/jre/bin/java                                                          1525185569.44       
1842     fsnotifier64                             /usr/lib/pycharm-community/bin/fsnotifier64                                                          1525185578.2        
1957     kworker/u2:2                             None                                                                                                 1525185688.4        
1964     python2.7                                /usr/bin/python2.7                                                                                   1525185718.96       
1968     python2.7                                /usr/bin/python2.7                                                                                   1525185722.48       
=============================================================================================================================================================================================
Time: 2018-05-01 17:42:13.442027 
pid      name                                     exe                                                                                                  time                
=============================================================================================================================================================================================
1        systemd                                  /sbin/init                                                                                           1525185307.01       
2        kthreadd                                 None                                                                                                 1525185307.01       
4        kworker/0:0H                             None                                                                                                 1525185307.01       
5        kworker/u2:0                             None                                                                                                 1525185307.01       
6        mm_percpu_wq                             None                                                                                                 1525185307.01       
7        ksoftirqd/0                              None                                                                                                 1525185307.01       
8        rcu_sched                                None                                                                                                 1525185307.01       
9        rcu_bh                                   None                                                                                                 1525185307.01       
10       migration/0                              None                                                                                                 1525185307.01       
11       watchdog/0                               None                                                                                                 1525185307.01       
12       cpuhp/0                                  None                                                                                                 1525185307.01       
13       kdevtmpfs                                None                                                                                                 1525185307.01       
14       netns                                    None                                                                                                 1525185307.01       
15       khungtaskd                               None                                                                                                 1525185307.01       
16       oom_reaper                               None                                                                                                 1525185307.01       
17       writeback                                None                                                                                                 1525185307.01       
18       kcompactd0                               None                                                                                                 1525185307.01       
19       ksmd                                     None                                                                                                 1525185307.01       
20       khugepaged                               None                                                                                                 1525185307.01       
21       crypto                                   None                                                                                                 1525185307.01       
22       kintegrityd                              None                                                                                                 1525185307.01       
23       kblockd                                  None                                                                                                 1525185307.01       
24       ata_sff                                  None                                                                                                 1525185307.12       
25       md                                       None                                                                                                 1525185307.12       
26       edac-poller                              None                                                                                                 1525185307.12       
27       devfreq_wq                               None                                                                                                 1525185307.12       
28       watchdogd                                None                                                                                                 1525185307.12       
29       kworker/u2:1                             None                                                                                                 1525185307.15       
30       kworker/0:1                              None                                                                                                 1525185307.16       
32       kauditd                                  None                                                                                                 1525185308.02       
33       kswapd0                                  None                                                                                                 1525185308.02       
34       ecryptfs-kthrea                          None                                                                                                 1525185308.02       
76       kthrotld                                 None                                                                                                 1525185308.02       
77       acpi_thermal_pm                          None                                                                                                 1525185308.02       
78       scsi_eh_0                                None                                                                                                 1525185308.02       
79       scsi_tmf_0                               None                                                                                                 1525185308.02       
80       scsi_eh_1                                None                                                                                                 1525185308.02       
81       scsi_tmf_1                               None                                                                                                 1525185308.02       
87       ipv6_addrconf                            None                                                                                                 1525185308.1        
112      charger_manager                          None                                                                                                 1525185308.12       
153      kworker/0:1H                             None                                                                                                 1525185308.41       
154      scsi_eh_2                                None                                                                                                 1525185308.76       
155      scsi_tmf_2                               None                                                                                                 1525185308.77       
179      jbd2/sda1-8                              None                                                                                                 1525185311.85       
180      ext4-rsv-conver                          None                                                                                                 1525185311.85       
214      systemd-journald                         /lib/systemd/systemd-journald                                                                        1525185312.4        
235      systemd-udevd                            /lib/systemd/systemd-udevd                                                                           1525185312.6        
264      loop0                                    None                                                                                                 1525185312.8        
266      loop1                                    None                                                                                                 1525185312.81       
270      loop2                                    None                                                                                                 1525185312.82       
273      loop3                                    None                                                                                                 1525185312.83       
301      kworker/0:5                              None                                                                                                 1525185312.93       
316      systemd-timesyncd                        /lib/systemd/systemd-timesyncd                                                                       1525185313.04       
411      iprt-VBoxWQueue                          None                                                                                                 1525185313.53       
420      ttm_swap                                 None                                                                                                 1525185313.57       
746      cupsd                                    /usr/sbin/cupsd                                                                                      1525185315.48       
748      accounts-daemon                          /usr/lib/accountsservice/accounts-daemon                                                             1525185315.49       
752      avahi-daemon                             None                                                                                                 1525185315.49       
755      cron                                     /usr/sbin/cron                                                                                       1525185315.58       
757      ModemManager                             /usr/sbin/ModemManager                                                                               1525185315.59       
758      acpid                                    /usr/sbin/acpid                                                                                      1525185315.59       
766      systemd-logind                           /lib/systemd/systemd-logind                                                                          1525185315.6        
773      rsyslogd                                 /usr/sbin/rsyslogd                                                                                   1525185315.62       
774      dbus-daemon                              /usr/bin/dbus-daemon                                                                                 1525185315.62       
790      avahi-daemon                             None                                                                                                 1525185315.77       
799      dbus                                     /usr/lib/cups/notifier/dbus                                                                          1525185315.8        
800      dbus                                     /usr/lib/cups/notifier/dbus                                                                          1525185315.8        
803      cups-browsed                             /usr/sbin/cups-browsed                                                                               1525185315.81       
807      NetworkManager                           /usr/sbin/NetworkManager                                                                             1525185315.82       
817      snapd                                    /usr/lib/snapd/snapd                                                                                 1525185315.84       
861      polkitd                                  /usr/lib/policykit-1/polkitd                                                                         1525185316.11       
873      lightdm                                  /usr/sbin/lightdm                                                                                    1525185316.15       
897      Xorg                                     /usr/lib/xorg/Xorg                                                                                   1525185316.59       
903      dhclient                                 /sbin/dhclient                                                                                       1525185316.84       
924      dnsmasq                                  /usr/sbin/dnsmasq                                                                                    1525185317.58       
967      lightdm                                  None                                                                                                 1525185317.73       
999      systemd                                  /lib/systemd/systemd                                                                                 1525185317.81       
1000     (sd-pam)                                 None                                                                                                 1525185317.82       
1006     upstart                                  /sbin/upstart                                                                                        1525185317.86       
1159     upstart-udev-bridge                      /sbin/upstart-udev-bridge                                                                            1525185318.46       
1166     dbus-daemon                              /usr/bin/dbus-daemon                                                                                 1525185318.56       
1178     window-stack-bridge                      /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge                                                    1525185318.57       
1210     gnome-keyring-daemon                     None                                                                                                 1525185318.68       
1216     bamfdaemon                               /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon                                                            1525185318.7        
1219     upstart-file-bridge                      /sbin/upstart-file-bridge                                                                            1525185318.71       
1221     upstart-dbus-bridge                      /sbin/upstart-dbus-bridge                                                                            1525185318.71       
1224     upstart-dbus-bridge                      /sbin/upstart-dbus-bridge                                                                            1525185318.73       
1231     ibus-daemon                              /usr/bin/ibus-daemon                                                                                 1525185318.81       
1240     gvfsd                                    /usr/lib/gvfs/gvfsd                                                                                  1525185318.88       
1245     gvfsd-fuse                               /usr/lib/gvfs/gvfsd-fuse                                                                             1525185318.91       
1247     ibus-dconf                               /usr/lib/ibus/ibus-dconf                                                                             1525185318.91       
1253     at-spi-bus-launcher                      /usr/lib/at-spi2-core/at-spi-bus-launcher                                                            1525185318.96       
1254     ibus-ui-gtk3                             /usr/lib/ibus/ibus-ui-gtk3                                                                           1525185318.97       
1263     ibus-x11                                 /usr/lib/ibus/ibus-x11                                                                               1525185319.0        
1271     dbus-daemon                              /usr/bin/dbus-daemon                                                                                 1525185319.07       
1274     at-spi2-registryd                        /usr/lib/at-spi2-core/at-spi2-registryd                                                              1525185319.11       
1283     ibus-engine-simple                       /usr/lib/ibus/ibus-engine-simple                                                                     1525185319.46       
1292     whoopsie                                 /usr/bin/whoopsie                                                                                    1525185322.06       
1297     agetty                                   /sbin/agetty                                                                                         1525185322.11       
1306     gpg-agent                                None                                                                                                 1525185322.93       
1316     hud-service                              /usr/lib/x86_64-linux-gnu/hud/hud-service                                                            1525185325.54       
1318     unity-settings-daemon                    /usr/lib/unity-settings-daemon/unity-settings-daemon                                                 1525185325.54       
1327     gnome-session-binary                     /usr/lib/gnome-session/gnome-session-binary                                                          1525185325.61       
1331     unity-panel-service                      /usr/lib/x86_64-linux-gnu/unity/unity-panel-service                                                  1525185325.63       
1350     upowerd                                  /usr/lib/upower/upowerd                                                                              1525185325.86       
1369     dconf-service                            /usr/lib/dconf/dconf-service                                                                         1525185326.03       
1375     indicator-messages-service               /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service                              1525185326.15       
1376     indicator-bluetooth-service              /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service                            1525185326.15       
1382     indicator-power-service                  /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service                                    1525185326.17       
1384     indicator-datetime-service               /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service                              1525185326.18       
1385     indicator-keyboard-service               /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service                              1525185326.19       
1386     indicator-sound-service                  /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service                                    1525185326.2        
1387     indicator-printers-service               /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service                              1525185326.21       
1392     indicator-session-service                /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service                                1525185326.24       
1397     compiz                                   /usr/bin/compiz                                                                                      1525185326.31       
1415     indicator-application-service            /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service                        1525185326.39       
1431     evolution-source-registry                /usr/lib/evolution/evolution-source-registry                                                         1525185326.54       
1433     pulseaudio                               /usr/bin/pulseaudio                                                                                  1525185326.54       
1434     rtkit-daemon                             /usr/lib/rtkit/rtkit-daemon                                                                          1525185326.54       
1464     colord                                   /usr/lib/colord/colord                                                                               1525185327.35       
1492     evolution-calendar-factory               /usr/lib/evolution/evolution-calendar-factory                                                        1525185328.42       
1497     polkit-gnome-authentication-agent-1      /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1                                       1525185328.55       
1498     nautilus                                 /usr/bin/nautilus                                                                                    1525185328.72       
1499     unity-fallback-mount-helper              /usr/lib/unity-settings-daemon/unity-fallback-mount-helper                                           1525185328.73       
1500     nm-applet                                /usr/bin/nm-applet                                                                                   1525185328.74       
1501     gnome-software                           /usr/bin/gnome-software                                                                              1525185328.92       
1523     gvfs-udisks2-volume-monitor              /usr/lib/gvfs/gvfs-udisks2-volume-monitor                                                            1525185329.34       
1528     udisksd                                  /usr/lib/udisks2/udisksd                                                                             1525185329.4        
1534     evolution-calendar-factory-subprocess    /usr/lib/evolution/evolution-calendar-factory-subprocess                                             1525185329.45       
1543     gvfs-afc-volume-monitor                  /usr/lib/gvfs/gvfs-afc-volume-monitor                                                                1525185329.76       
1551     gvfs-goa-volume-monitor                  /usr/lib/gvfs/gvfs-goa-volume-monitor                                                                1525185329.85       
1553     fwupd                                    /usr/lib/x86_64-linux-gnu/fwupd/fwupd                                                                1525185329.86       
1558     gvfs-gphoto2-volume-monitor              /usr/lib/gvfs/gvfs-gphoto2-volume-monitor                                                            1525185329.91       
1564     gvfs-mtp-volume-monitor                  /usr/lib/gvfs/gvfs-mtp-volume-monitor                                                                1525185330.0        
1580     evolution-calendar-factory-subprocess    /usr/lib/evolution/evolution-calendar-factory-subprocess                                             1525185330.2        
1582     evolution-addressbook-factory            /usr/lib/evolution/evolution-addressbook-factory                                                     1525185330.22       
1589     evolution-addressbook-factory-subprocess /usr/lib/evolution/evolution-addressbook-factory-subprocess                                          1525185330.67       
1602     gvfsd-trash                              /usr/lib/gvfs/gvfsd-trash                                                                            1525185331.18       
1633     gvfsd-metadata                           /usr/lib/gvfs/gvfsd-metadata                                                                         1525185332.34       
1666     zeitgeist-datahub                        /usr/bin/zeitgeist-datahub                                                                           1525185349.22       
1673     sh                                       /bin/dash                                                                                            1525185349.26       
1677     zeitgeist-daemon                         /usr/bin/zeitgeist-daemon                                                                            1525185349.27       
1685     zeitgeist-fts                            /usr/lib/x86_64-linux-gnu/zeitgeist-fts                                                              1525185349.31       
1727     update-notifier                          /usr/bin/update-notifier                                                                             1525185389.24       
1753     deja-dup-monitor                         /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor                                                  1525185449.22       
1768     pycharm-communi                          /bin/dash                                                                                            1525185568.85       
1812     java                                     /usr/lib/pycharm-community/jre/jre/bin/java                                                          1525185569.44       
1842     fsnotifier64                             /usr/lib/pycharm-community/bin/fsnotifier64                                                          1525185578.2        
1957     kworker/u2:2                             None                                                                                                 1525185688.4        
1964     python2.7                                /usr/bin/python2.7                                                                                   1525185718.96       
1968     python2.7                                /usr/bin/python2.7                                                                                   1525185722.48       
=============================================================================================================================================================================================
Time: 2018-05-01 17:42:18.578810 
pid      name                                     exe                                                                                                  time                
=============================================================================================================================================================================================
1        systemd                                  /sbin/init                                                                                           1525185307.01       
2        kthreadd                                 None                                                                                                 1525185307.01       
4        kworker/0:0H                             None                                                                                                 1525185307.01       
5        kworker/u2:0                             None                                                                                                 1525185307.01       
6        mm_percpu_wq                             None                                                                                                 1525185307.01       
7        ksoftirqd/0                              None                                                                                                 1525185307.01       
8        rcu_sched                                None                                                                                                 1525185307.01       
9        rcu_bh                                   None                                                                                                 1525185307.01       
10       migration/0                              None                                                                                                 1525185307.01       
11       watchdog/0                               None                                                                                                 1525185307.01       
12       cpuhp/0                                  None                                                                                                 1525185307.01       
13       kdevtmpfs                                None                                                                                                 1525185307.01       
14       netns                                    None                                                                                                 1525185307.01       
15       khungtaskd                               None                                                                                                 1525185307.01       
16       oom_reaper                               None                                                                                                 1525185307.01       
17       writeback                                None                                                                                                 1525185307.01       
18       kcompactd0                               None                                                                                                 1525185307.01       
19       ksmd                                     None                                                                                                 1525185307.01       
20       khugepaged                               None                                                                                                 1525185307.01       
21       crypto                                   None                                                                                                 1525185307.01       
22       kintegrityd                              None                                                                                                 1525185307.01       
23       kblockd                                  None                                                                                                 1525185307.01       
24       ata_sff                                  None                                                                                                 1525185307.12       
25       md                                       None                                                                                                 1525185307.12       
26       edac-poller                              None                                                                                                 1525185307.12       
27       devfreq_wq                               None                                                                                                 1525185307.12       
28       watchdogd                                None                                                                                                 1525185307.12       
29       kworker/u2:1                             None                                                                                                 1525185307.15       
30       kworker/0:1                              None                                                                                                 1525185307.16       
32       kauditd                                  None                                                                                                 1525185308.02       
33       kswapd0                                  None                                                                                                 1525185308.02       
34       ecryptfs-kthrea                          None                                                                                                 1525185308.02       
76       kthrotld                                 None                                                                                                 1525185308.02       
77       acpi_thermal_pm                          None                                                                                                 1525185308.02       
78       scsi_eh_0                                None                                                                                                 1525185308.02       
79       scsi_tmf_0                               None                                                                                                 1525185308.02       
80       scsi_eh_1                                None                                                                                                 1525185308.02       
81       scsi_tmf_1                               None                                                                                                 1525185308.02       
87       ipv6_addrconf                            None                                                                                                 1525185308.1        
112      charger_manager                          None                                                                                                 1525185308.12       
153      kworker/0:1H                             None                                                                                                 1525185308.41       
154      scsi_eh_2                                None                                                                                                 1525185308.76       
155      scsi_tmf_2                               None                                                                                                 1525185308.77       
179      jbd2/sda1-8                              None                                                                                                 1525185311.85       
180      ext4-rsv-conver                          None                                                                                                 1525185311.85       
214      systemd-journald                         /lib/systemd/systemd-journald                                                                        1525185312.4        
235      systemd-udevd                            /lib/systemd/systemd-udevd                                                                           1525185312.6        
264      loop0                                    None                                                                                                 1525185312.8        
266      loop1                                    None                                                                                                 1525185312.81       
270      loop2                                    None                                                                                                 1525185312.82       
273      loop3                                    None                                                                                                 1525185312.83       
301      kworker/0:5                              None                                                                                                 1525185312.93       
316      systemd-timesyncd                        /lib/systemd/systemd-timesyncd                                                                       1525185313.04       
411      iprt-VBoxWQueue                          None                                                                                                 1525185313.53       
420      ttm_swap                                 None                                                                                                 1525185313.57       
746      cupsd                                    /usr/sbin/cupsd                                                                                      1525185315.48       
748      accounts-daemon                          /usr/lib/accountsservice/accounts-daemon                                                             1525185315.49       
752      avahi-daemon                             None                                                                                                 1525185315.49       
755      cron                                     /usr/sbin/cron                                                                                       1525185315.58       
757      ModemManager                             /usr/sbin/ModemManager                                                                               1525185315.59       
758      acpid                                    /usr/sbin/acpid                                                                                      1525185315.59       
766      systemd-logind                           /lib/systemd/systemd-logind                                                                          1525185315.6        
773      rsyslogd                                 /usr/sbin/rsyslogd                                                                                   1525185315.62       
774      dbus-daemon                              /usr/bin/dbus-daemon                                                                                 1525185315.62       
790      avahi-daemon                             None                                                                                                 1525185315.77       
799      dbus                                     /usr/lib/cups/notifier/dbus                                                                          1525185315.8        
800      dbus                                     /usr/lib/cups/notifier/dbus                                                                          1525185315.8        
803      cups-browsed                             /usr/sbin/cups-browsed                                                                               1525185315.81       
807      NetworkManager                           /usr/sbin/NetworkManager                                                                             1525185315.82       
817      snapd                                    /usr/lib/snapd/snapd                                                                                 1525185315.84       
861      polkitd                                  /usr/lib/policykit-1/polkitd                                                                         1525185316.11       
873      lightdm                                  /usr/sbin/lightdm                                                                                    1525185316.15       
897      Xorg                                     /usr/lib/xorg/Xorg                                                                                   1525185316.59       
903      dhclient                                 /sbin/dhclient                                                                                       1525185316.84       
